"Variable name","Variable description"
"median","calibrated years before present"
"Aulacoisera.","Relative abundance"
"Brachysira..brebissonii","Relative abundance"
"Caloneis.amphisbaena","Relative abundance"
"Encyonema.latum","Relative abundance"
"Encyonema.neomuelleri","Relative abundance"
"Eunotia.arcus","Relative abundance"
"Eunotia.diodon","Relative abundance"
"Eunotia.flexuosa","Relative abundance"
"Eunotia.musicola","Relative abundance"
"Eunotia.naegelii","Relative abundance"
"Eunotia.pectinalis","Relative abundance"
"Eunotia.pirla","Relative abundance"
"Frustulia..rhomboides","Relative abundance"
"Pinnularia.sp.","Relative abundance"
"Pinnularia.stomatophora","Relative abundance"
"Pinnularia.viridiformis","Relative abundance"
"Stauroneis.phoenicenteron","Relative abundance"
"Stenop.terobia.intermedia","Relative abundance"
"Surirella.spiralis","Relative abundance"
