"Identifier","Depth","median","Counts","id2"
26.5,0.5,740,0,"Grasses/Sedges"
26.5,0.5,740,0,"Arboreal"
26.5,0.5,740,100,"Arboreal"
26.5,0.5,740,0,"Non diagnostic"
28,2,1985,0,"Grasses/Sedges"
28,2,1985,0,"Arboreal"
28,2,1985,6.67,"Grasses/Sedges"
28,2,1985,73.33,"Arboreal"
28,2,1985,0,"Non diagnostic"
29.5,3.5,3139,0,"Grasses/Sedges"
29.5,3.5,3139,0,"Arboreal"
29.5,3.5,3139,100,"Arboreal"
29.5,3.5,3139,0,"Non diagnostic"
32,6,4383,0,"Grasses/Sedges"
32,6,4383,0,"Arboreal"
32,6,4383,13.79,"Grasses/Sedges"
32,6,4383,86.21,"Arboreal"
32,6,4383,0,"Non diagnostic"
34.5,8.5,4667,0,"Grasses/Sedges"
34.5,8.5,4667,0,"Arboreal"
34.5,8.5,4667,100,"Arboreal"
34.5,8.5,4667,0,"Non diagnostic"
37.5,11.5,4972,0,"Grasses/Sedges"
37.5,11.5,4972,8.33,"Grasses/Sedges"
37.5,11.5,4972,16.67,"Arboreal"
37.5,11.5,4972,70.83,"Arboreal"
37.5,11.5,4972,0,"Non diagnostic"
37.5,11.5,4972,4.17,"Grasses/Sedges"
51,23,6831,0,"Grasses/Sedges"
51,23,6831,0,"Arboreal"
51,23,6831,21.37,"Grasses/Sedges"
51,23,6831,44.44,"Arboreal"
51,23,6831,12.82,"Non diagnostic"
53,25,7099,0,"Grasses/Sedges"
53,25,7099,0,"Arboreal"
53,25,7099,3.39,"Grasses/Sedges"
53,25,7099,10.17,"Grasses/Sedges"
53,25,7099,86.44,"Arboreal"
53,25,7099,0,"Non diagnostic"
57,29,7305,0,"Grasses/Sedges"
57,29,7305,0,"Arboreal"
57,29,7305,100,"Grasses/Sedges"
57,29,7305,0,"Non diagnostic"
58,30,7363,0,"Grasses/Sedges"
58,30,7363,0,"Arboreal"
58,30,7363,37.5,"Grasses/Sedges"
58,30,7363,62.5,"Arboreal"
58,30,7363,0,"Non diagnostic"
60,32,7563,0,"Grasses/Sedges"
60,32,7563,0,"Arboreal"
60,32,7563,100,"Arboreal"
60,32,7563,0,"Non diagnostic"
61,33,7708,0,"Grasses/Sedges"
61,33,7708,0,"Arboreal"
61,33,7708,100,"Arboreal"
61,33,7708,0,"Non diagnostic"
63,35,8042,0,"Grasses/Sedges"
63,35,8042,0,"Arboreal"
63,35,8042,39.02,"Grasses/Sedges"
63,35,8042,48.78,"Arboreal"
63,35,8042,12.2,"Non diagnostic"
68,40,9138,0,"Grasses/Sedges"
68,40,9138,0,"Arboreal"
68,40,9138,3.89,"Grasses/Sedges"
68,40,9138,89.82,"Grasses/Sedges"
68,40,9138,6.29,"Arboreal"
68,40,9138,0,"Non diagnostic"
71,43,9792,0,"Grasses/Sedges"
71,43,9792,0,"Arboreal"
71,43,9792,30.37,"Grasses/Sedges"
71,43,9792,21.03,"Grasses/Sedges"
71,43,9792,32.71,"Arboreal"
71,43,9792,15.88,"Non diagnostic"
75,47,10929,0,"Grasses/Sedges"
75,47,10929,0,"Arboreal"
75,47,10929,27.62,"Grasses/Sedges"
75,47,10929,12.38,"Grasses/Sedges"
75,47,10929,25.71,"Grasses/Sedges"
75,47,10929,34.29,"Non diagnostic"
83,56,13836,0,"Grasses/Sedges"
83,56,13836,0,"Arboreal"
83,56,13836,12.99,"Grasses/Sedges"
83,56,13836,3.19,"Grasses/Sedges"
83,56,13836,73.53,"Grasses/Sedges"
83,56,13836,2.94,"Arboreal"
83,56,13836,7.35,"Non diagnostic"
93,66,18438,0,"Grasses/Sedges"
93,66,18438,0,"Arboreal"
93,66,18438,8.47,"Grasses/Sedges"
93,66,18438,23.73,"Grasses/Sedges"
